,bitstring,ideal_prob,depolarize_single_0.0016_prob
192,00000011000000,3.6799883165443354e-06,4.8e-05
193,00000011000001,6.235631631513245e-05,5.6e-05
194,00000011000010,3.947785448489037e-05,6.2e-05
195,00000011000011,0.00011234299096581672,9e-05
196,00000011000100,0.00010725556465511715,0.000106
197,00000011000101,4.5048715795177735e-05,5.6e-05
198,00000011000110,0.00011732891437402154,8e-05
199,00000011000111,7.934001034123574e-05,8.4e-05
200,00000011001000,2.848987931963965e-05,7e-05
201,00000011001001,3.640099933699315e-05,4.6e-05
202,00000011001010,0.0002142965037874361,0.000118
203,00000011001011,2.0581320461425596e-05,4.4e-05
204,00000011001100,9.953819312944857e-05,0.000102
205,00000011001101,2.540930579190975e-05,7e-05
206,00000011001110,6.627617400786413e-05,5.8e-05
207,00000011001111,3.6266085955555446e-05,4.2e-05
208,00000011010000,0.00012504300423511126,8.2e-05
209,00000011010001,1.615400693294583e-05,4.4e-05
210,00000011010010,6.0693777344522285e-05,7.4e-05
211,00000011010011,4.8609802011045705e-05,4e-05
