,bitstring,ideal_real_amp,ideal_imag_amp,ideal_prob,google_noisy_prob,depolarize_single_0.0016_prob
6596,01100111000100,-0.00034246591656009314,-0.0011829846039748244,1.5167354772468168e-06,5e-05,5e-05
6597,01100111000101,-0.0004893344254693984,-0.0035938453507936203,1.3155172585370386e-05,5.8e-05,5.6e-05
6598,01100111000110,-0.0033158518418203516,0.0033461673973791115,2.2191709688186315e-05,6e-05,5.8e-05
6599,01100111000111,-0.009996633070092876,-0.000475721828168556,0.00010015898399587054,6.4e-05,7.2e-05
6600,01100111001000,0.0013516199618435324,0.0073413497436749,5.5722292580209436e-05,5e-05,6.4e-05
6601,01100111001001,0.00290197454096967,0.007285721169499514,6.150318919612949e-05,5e-05,5.6e-05
6602,01100111001010,-0.003971812505195851,-0.0028871671862495227,2.411102893778613e-05,6e-05,5.2e-05
6603,01100111001011,0.0020383283986090575,0.0007309192154032692,4.689025560021896e-06,3.6e-05,3.4e-05
6604,01100111001100,-0.00625039908722069,-0.009666913149899554,0.00013251669859723014,9.8e-05,7.2e-05
6605,01100111001101,-0.0013066819259876204,0.004925012779123185,2.596316853022939e-05,3.6e-05,5.4e-05
6606,01100111001110,-0.010215842768636539,-0.002459310791421359,0.00011041165304230503,7e-05,5.6e-05
6607,01100111001111,-3.705514051670095e-05,0.0009501314193562614,9.041227974866563e-07,3.4e-05,5.2e-05
6608,01100111010000,-0.005062737433561296,0.0016179659857666505,2.8249124252280665e-05,4.6e-05,3.2e-05
6609,01100111010001,0.002465978640893222,0.0035448952438441816,1.864733294717068e-05,3e-05,5.4e-05
6610,01100111010010,-0.0013836460955075642,0.00833419301677906,7.137324975854216e-05,7.4e-05,5.4e-05
6611,01100111010011,0.0016473427591999438,0.006530732567196227,4.53642060305259e-05,4.4e-05,5.4e-05
6612,01100111010100,0.00843692806360748,-0.004540247096941293,9.179559885177131e-05,7.8e-05,4.6e-05
6613,01100111010101,0.008846764694222985,0.0013465624793842926,8.007847606583587e-05,6.8e-05,7.2e-05
6614,01100111010110,-0.004597055050989594,-0.005954753714016978,5.659200693642792e-05,2.8e-05,6.2e-05
6615,01100111010111,0.00018336975752807072,0.0025051602806958374,6.309452499951951e-06,1.2e-05,5e-05
